size,architecture,avg_lr
21511953984,GptOssForCausalLM,5.928571428571429e-06
3000000000,Unknown,1.725e-05
6000000000,Unknown,1.345e-05
560000000,bloomforcausallm,9.5625e-06
1000000000,falconforcausallm,8e-06
7217189760,falconforcausallm,2.02e-05
9241705984,gemma2forcausallm,3.175e-06
2614341888,gemma2forcausallm,7.510000000000001e-06
2506172416,gemmaforcausallm,2.8e-06
8537680896,gemmaforcausallm,3.6111111111111106e-06
1300000000,gptneoforcausallm,2.175e-05
125000000,gptneoforcausallm,2.3e-05
505997504,gptneoxforcausallm,1.3087500000000001e-05
1078891008,gptneoxforcausallm,1.3250000000000002e-05
12000000000,gptneoxforcausallm,8.799999999999999e-06
162417792,llamaforcausallm,2.5666666666666666e-05
3821079552,llamaforcausallm,1e-05
1711376384,llamaforcausallm,1.368e-05
10000000000,llamaforcausallm,8.266666666666667e-06
7000000000,llamaforcausallm,1.5343333333333333e-05
8000000000,llamaforcausallm,1.0673333333333333e-05
8030261248,llamaforcausallm,1.2074358974358975e-05
1100048384,llamaforcausallm,1.174e-05
3000000000,llamaforcausallm,1.28e-05
6738546688,llamaforcausallm,1.995e-05
6738415616,llamaforcausallm,1.21e-05
1235814400,llamaforcausallm,1.2586363636363636e-05
134515008,llamaforcausallm,0.00010732142857142859
13000000000,llamaforcausallm,1.0333333333333333e-05
70000000000,llamaforcausallm,1.6e-05
68980847616,llamaforcausallm,8e-06
10731540480,llamaforcausallm,9.7e-06
361821120,llamaforcausallm,0.00015250000000000002
6740512768,llamaforcausallm,2.2e-05
8030523392,llamaforcausallm,9.600000000000001e-06
68976648192,llamaforcausallm,8e-06
3426474900,llamaforcausallm,1.5616666666666666e-05
134515584,llamaforcausallm,0.00011666666666666667
1100000000,llamaforcausallm,1.9999999999999998e-05
10731524096,llamaforcausallm,6.6e-06
3212749824,llamaforcausallm,1.3846666666666666e-05
70553706496,llamaforcausallm,3e-05
1711378432,llamaforcausallm,2.2499999999999998e-05
6738417664,llamaforcausallm,1.9999999999999998e-05
70554361856,llamaforcausallm,1.9999999999999998e-05
361822080,llamaforcausallm,0.0001
7000000000,mistralforcausallm,5.822222222222222e-06
7241732096,mistralforcausallm,6.1583333333333325e-06
3821079552,mistralforcausallm,1.4833333333333332e-05
7241748480,mistralforcausallm,7.875e-06
12247782400,mistralforcausallm,8e-06
7241740288,mistralforcausallm,6.8e-06
7241994240,mistralforcausallm,4.9999999999999996e-06
7248023552,mistralforcausallm,1.2833333333333331e-05
7627567104,mistralforcausallm,1.15e-05
246961152,mixtralforcausallm,1.9777777777777778e-05
1300000000,optforcausallm,8e-06
125000000,optforcausallm,2.6733333333333334e-05
350000000,optforcausallm,3.126666666666666e-05
3821079552,phi3forcausallm,1.528e-05
13960238080,phi3forcausallm,8e-05
1418270720,phiforcausallm,9.466666666666667e-06
2779683840,phiforcausallm,1.28e-05
5000000000,qwen2forcausallm,1.2333333333333334e-05
7615616512,qwen2forcausallm,1.657e-05
619570176,qwen2forcausallm,1.4750000000000001e-05
494032768,qwen2forcausallm,1.8623958333333335e-05
1543714304,qwen2forcausallm,2.388125e-05
3085938688,qwen2forcausallm,1.77e-05
7721324544,qwen2forcausallm,1.2499999999999999e-05
14167290880,qwen2forcausallm,1.3999999999999998e-05
14000000000,qwen2forcausallm,2e-05
8190735360,qwen3forcausallm,1.6199999999999997e-05
32000000000,qwen3forcausallm,2.2499999999999998e-05
4000000000,qwen3forcausallm,1.698e-05
1720574976,qwen3forcausallm,6.5000000000000004e-06
4022468096,qwen3forcausallm,1.04e-05
14000000000,qwen3forcausallm,1.3000000000000001e-05
14768307200,qwen3forcausallm,2.5e-05
6000000000,qwen3forcausallm,2.4e-05
3030371328,starcoder2forcausallm,4.000000000000001e-06
