size,architecture,avg_lr
21511953984,GptOssForCausalLM,6e-06
560000000,bloomforcausallm,6.155555555555554e-05
7217189760,falconforcausallm,5.525e-05
1000000000,falconforcausallm,1e-05
9241705984,gemma2forcausallm,1.2941176470588238e-05
2614341888,gemma2forcausallm,2.1558441558441557e-05
8537680896,gemmaforcausallm,1.925e-05
2506172416,gemmaforcausallm,4e-05
1300000000,gptneoforcausallm,9.285714285714285e-05
125000000,gptneoforcausallm,0.0003
1078891008,gptneoxforcausallm,7.999999999999999e-05
12000000000,gptneoxforcausallm,3.335e-05
13061377280,gptneoxforcausallm,4e-05
505997504,gptneoxforcausallm,6.444444444444444e-05
95592496,gptneoxforcausallm,0.00067
1235814400,llamaforcausallm,2.4535698757763973e-05
3212749824,llamaforcausallm,5.714285714285715e-05
1204881408,llamaforcausallm,2.1e-05
8030261248,llamaforcausallm,1.4555263157894739e-05
6740512768,llamaforcausallm,8e-05
6738546688,llamaforcausallm,6.916666666666666e-05
361822080,llamaforcausallm,0.0005650793650793651
8000000000,llamaforcausallm,2.125e-05
10731540480,llamaforcausallm,5e-06
7000000000,llamaforcausallm,5.915178571428572e-05
1100000000,llamaforcausallm,7.999999999999999e-05
1711378432,llamaforcausallm,0.00037555555555555557
68976653312,llamaforcausallm,8e-05
13000000000,llamaforcausallm,4e-05
70553706496,llamaforcausallm,6.266666666666667e-05
1100048384,llamaforcausallm,0.00011659090909090907
6738415616,llamaforcausallm,4.8125000000000004e-05
3821079552,llamaforcausallm,9.02857142857143e-05
70000000000,llamaforcausallm,8.5e-05
134515008,llamaforcausallm,0.0005714285714285715
3000000000,llamaforcausallm,9.457142857142858e-05
68976648192,llamaforcausallm,0.0001
68977172480,llamaforcausallm,0.0001
1711376384,llamaforcausallm,0.0003658333333333333
10000000000,llamaforcausallm,7.250000000000001e-06
134515584,llamaforcausallm,0.0008
8829407232,llamaforcausallm,3.125e-05
8030523392,llamaforcausallm,2e-05
6738417664,llamaforcausallm,3.5000000000000004e-05
3426474900,llamaforcausallm,6.285714285714286e-05
361821120,llamaforcausallm,0.0005566666666666667
10731524096,llamaforcausallm,9.5e-06
162417792,llamaforcausallm,0.00057
68976669696,llamaforcausallm,0.0001
68980847616,llamaforcausallm,0.0001
68978745344,llamaforcausallm,0.0001
7370936320,mistralforcausallm,1.5e-05
7241740288,mistralforcausallm,7.5e-06
7241732096,mistralforcausallm,6.153846153846154e-06
7000000000,mistralforcausallm,6.636363636363637e-06
7241994240,mistralforcausallm,9.6875e-06
3821079552,mistralforcausallm,0.00014514285714285717
12247782400,mistralforcausallm,1.4000000000000001e-05
7241748480,mistralforcausallm,5e-06
7627567104,mistralforcausallm,1.7125000000000003e-05
7248023552,mistralforcausallm,8.386363636363638e-06
13960238080,mistralforcausallm,4e-05
246961152,mixtralforcausallm,0.00075
1300000000,optforcausallm,6.4e-05
350000000,optforcausallm,8.800000000000001e-05
125000000,optforcausallm,9.400000000000001e-05
3821079552,phi3forcausallm,0.00011771428571428572
2779683840,phiforcausallm,5.6000000000000006e-05
1418270720,phiforcausallm,0.000171875
7615616512,qwen2forcausallm,4.302500000000001e-05
1543714304,qwen2forcausallm,9.819686411149825e-05
14770033664,qwen2forcausallm,2.25e-05
619570176,qwen2forcausallm,8.200000000000001e-05
3085938688,qwen2forcausallm,7.351020408163265e-05
7721324544,qwen2forcausallm,3e-05
494032768,qwen2forcausallm,9.95138888888889e-05
5000000000,qwen2forcausallm,0.00026166666666666667
32763876352,qwen2forcausallm,0.00011
14167290880,qwen2forcausallm,4e-05
8190735360,qwen3forcausallm,1.4360526315789477e-05
32000000000,qwen3forcausallm,7.000000000000001e-05
4022468096,qwen3forcausallm,3.571428571428571e-05
6000000000,qwen3forcausallm,9e-05
4000000000,qwen3forcausallm,5.660714285714286e-05
1720574976,qwen3forcausallm,6.142857142857143e-05
